hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2010,2,2,2,59,1,2,43,1,28,68286945,3130
2010,2,2,2,30,7,2,42,1,29,101120814,3130
2010,1,2,2,41,1,2,42,1,29,100485226,3130
2010,2,2,2,60,2,2,42,1,29,168934262,3130
2010,1,2,2,39,1,2,44,1,29,88948595,3130
2010,2,2,2,57,1,2,39,1,29,100573895,3130
2010,2,2,2,29,1,2,43,1,29,87795214,3130
2010,2,2,2,62,1,2,41,1,30,33361327,3130
2010,2,2,2,51,1,2,39,1,30,30165923,3130
2010,2,2,2,70,5,2,43,4,31,24654684,3130
2010,2,2,2,50,1,2,43,1,31,28977353,3130
2010,2,2,2,40,1,2,41,1,31,34981433,3130
2010,2,2,2,52,1,2,42,1,31,27405952,3130
2010,2,2,2,47,1,2,42,1,31,27986369,3130
2010,2,2,2,42,1,2,43,1,31,36987196,3130
2010,2,2,2,59,1,2,44,1,32,44043913,3130
2010,2,1,-1,36,4,2,43,5,32,52209043,3130
2010,2,2,2,38,4,2,43,4,32,52679302,3130
2010,2,1,-1,45,1,2,42,1,32,46268578,3130
2010,2,2,2,37,1,2,42,1,33,15415623,3130
2010,2,2,2,34,2,2,43,4,33,23923077,3130
2010,2,2,2,51,1,2,43,1,33,16756679,3130
2010,2,2,2,56,1,2,43,1,33,16288810,3130
